id|bookId|username|reservationDate|status|startDate|endDate
1|47|js|2025-08-26T00:00|ACTIVE|2025-08-27|2025-09-02
2|83|luna_rose|2025-08-26T00:00|ACTIVE|2025-08-27|2025-09-02
4|62|sara_jones|2025-08-26T00:00|ACTIVE|2025-08-27|2025-09-02
5|14|mike_davis|2025-08-26T00:00|ACTIVE|2025-08-27|2025-09-02
6|99|emma_lee|2025-08-26T00:00|ACTIVE|2025-08-27|2025-09-02
7|28|chris_wong|2025-08-26T00:00|ACTIVE|2025-08-27|2025-09-02
8|76|amy_smith|2025-08-26T00:00|ACTIVE|2025-08-27|2025-09-02
9|37|peter_parker|2025-08-26T00:00|ACTIVE|2025-08-27|2025-09-02
12|88|js|2025-08-26T00:00|ACTIVE|2025-08-27|2025-09-02
13|64|luna_rose|2025-08-26T00:00|ACTIVE|2025-08-27|2025-09-02
14|12|techie_ash|2025-08-26T00:00|ACTIVE|2025-08-27|2025-09-02
15|45|sara_jones|2025-08-26T00:00|ACTIVE|2025-08-27|2025-09-02
16|65|js|2025-08-27T18:20|PENDING|2025-08-31|2025-09-21
17|67|js|2025-08-29T03:07|PENDING|2025-08-30|2025-10-25
18|31|js|2025-08-29T03:37|PENDING|2025-09-30|2025-10-18
